"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 02월 21일","65,418,000","64,218,000","65,418,000","64,218,000","1.04K","1.90%"
"2021년 02월 20일","64,200,000","63,505,000","64,996,000","63,505,000","2.33K","1.10%"
"2021년 02월 19일","63,502,000","57,774,000","63,502,000","57,774,000","2.53K","9.84%"
"2021년 02월 18일","57,811,000","57,543,000","57,811,000","57,399,000","0.75K","0.52%"
"2021년 02월 17일","57,513,000","54,748,000","57,513,000","54,748,000","1.43K","4.99%"
"2021년 02월 16일","54,780,000","52,490,000","54,780,000","52,490,000","1.21K","4.35%"
"2021년 02월 15일","52,498,000","52,631,000","52,631,000","51,795,000","1.04K","-0.26%"
"2021년 02월 14일","52,636,000","50,611,000","52,636,000","50,611,000","1.00K","4.08%"
"2021년 02월 13일","50,571,000","50,879,000","51,210,000","50,571,000","1.11K","-0.52%"
"2021년 02월 12일","50,835,000","51,482,000","51,482,000","50,835,000","1.06K","-1.30%"
"2021년 02월 11일","51,504,000","48,579,000","51,504,000","48,579,000","2.01K","6.02%"
"2021년 02월 10일","48,580,000","48,645,000","48,645,000","47,970,000","1.81K","-0.14%"
"2021년 02월 09일","48,649,000","49,158,000","49,748,000","48,649,000","1.67K","-1.02%"
"2021년 02월 08일","49,150,000","42,098,000","49,150,000","42,098,000","4.72K","16.77%"
"2021년 02월 07일","42,091,000","41,713,000","42,091,000","41,265,000","1.52K","0.85%"
"2021년 02월 06일","41,737,000","40,458,000","43,032,000","40,458,000","2.38K","3.10%"
"2021년 02월 05일","40,482,000","39,808,000","40,482,000","39,808,000","1.17K","1.66%"
"2021년 02월 04일","39,820,000","39,353,000","39,820,000","39,353,000","1.57K","1.19%"
"2021년 02월 03일","39,353,000","37,902,000","39,353,000","37,902,000","1.70K","3.89%"
"2021년 02월 02일","37,878,000","36,527,000","37,878,000","36,527,000","1.84K","3.73%"
"2021년 02월 01일","36,517,000","36,353,000","37,028,000","36,353,000","1.43K","0.45%"
"2021년 01월 31일","36,355,000","36,972,000","36,972,000","36,355,000","1.78K","-1.64%"
"2021년 01월 30일","36,961,000","37,470,000","37,470,000","36,662,000","2.00K","-1.46%"
"2021년 01월 29일","37,509,000","36,635,000","40,308,000","36,635,000","2.92K","2.45%"
"2021년 01월 28일","36,613,000","34,315,000","36,613,000","34,315,000","2.25K","6.70%"
"2021년 01월 27일","34,315,000","35,950,000","35,950,000","34,315,000","2.75K","-4.55%"
"2021년 01월 26일","35,950,000","36,021,000","36,060,000","35,950,000","1.82K","-0.31%"
"2021년 01월 25일","36,061,000","35,545,000","36,372,000","35,545,000","2.87K","1.52%"
"2021년 01월 24일","35,521,000","35,495,000","35,521,000","35,495,000","1.77K","0.12%"
"2021년 01월 23일","35,479,000","36,365,000","36,365,000","35,379,000","0.96K","-2.44%"
"2021년 01월 22일","36,365,000","34,401,000","36,365,000","34,401,000","2.12K","5.75%"
"2021년 01월 21일","34,389,000","39,252,000","39,252,000","34,389,000","5.03K","-12.44%"
"2021년 01월 20일","39,277,000","39,466,000","39,466,000","38,339,000","2.07K","-0.48%"
"2021년 01월 19일","39,465,000","39,994,000","40,237,000","39,465,000","1.90K","-1.32%"
"2021년 01월 18일","39,994,000","39,562,000","39,994,000","39,109,000","1.16K","1.12%"
"2021년 01월 17일","39,552,000","40,065,000","40,065,000","39,552,000","1.39K","-1.32%"
"2021년 01월 16일","40,083,000","41,011,000","41,011,000","40,083,000","1.54K","-2.34%"
"2021년 01월 15일","41,045,000","42,742,000","42,742,000","41,045,000","4.01K","-4.02%"
"2021년 01월 14일","42,762,000","41,393,000","42,762,000","41,393,000","3.67K","3.28%"
"2021년 01월 13일","41,403,000","38,541,000","41,403,000","37,330,000","4.08K","7.43%"
"2021년 01월 12일","38,541,000","40,362,000","40,362,000","38,541,000","2.87K","-4.46%"
"2021년 01월 11일","40,340,000","43,406,000","43,406,000","35,135,000","9.55K","-7.15%"
"2021년 01월 10일","43,447,000","45,603,000","46,620,000","43,447,000","6.30K","-4.75%"
"2021년 01월 09일","45,614,000","47,231,000","47,231,000","45,614,000","2.45K","-3.44%"
"2021년 01월 08일","47,241,000","44,592,000","47,241,000","44,592,000","3.88K","5.98%"
"2021년 01월 07일","44,575,000","40,760,000","44,575,000","40,760,000","5.59K","9.44%"
"2021년 01월 06일","40,731,000","37,989,000","40,731,000","37,989,000","4.25K","7.29%"
"2021년 01월 05일","37,962,000","36,475,000","37,962,000","35,190,000","4.17K","4.01%"
"2021년 01월 04일","36,499,000","37,553,000","38,113,000","36,499,000","2.92K","-2.89%"
"2021년 01월 03일","37,586,000","35,705,000","37,586,000","35,705,000","5.43K","5.27%"
"2021년 01월 02일","35,705,000","32,314,000","36,184,000","32,314,000","6.98K","10.50%"
"2021년 01월 01일","32,312,000","32,023,000","32,414,000","32,023,000","1.36K","0.89%"
"2020년 12월 31일","32,026,000","31,886,000","32,026,000","31,886,000","1.41K","0.44%"
"2020년 12월 30일","31,886,000","30,445,000","31,886,000","30,445,000","2.50K","4.72%"
"2020년 12월 29일","30,450,000","30,199,000","30,450,000","30,199,000","2.11K","0.83%"
"2020년 12월 28일","30,199,000","29,356,000","30,199,000","29,356,000","1.76K","2.88%"
"2020년 12월 27일","29,355,000","29,371,000","31,268,000","29,355,000","3.59K","-0.10%"
"2020년 12월 26일","29,385,000","27,136,000","29,385,000","27,136,000","4.43K","8.29%"
"2020년 12월 25일","27,135,000","26,466,000","27,135,000","26,466,000","2.48K","2.48%"
"2020년 12월 24일","26,479,000","26,383,000","26,479,000","26,117,000","2.10K","0.39%"
"2020년 12월 23일","26,376,000","26,777,000","26,777,000","26,376,000","2.98K","-1.52%"
"2020년 12월 22일","26,782,000","25,329,000","26,782,000","25,252,000","2.10K","5.71%"
"2020년 12월 21일","25,335,000","25,894,000","25,894,000","25,335,000","2.25K","-2.17%"
"2020년 12월 20일","25,896,000","26,183,000","26,183,000","25,868,000","2.24K","-1.10%"
"2020년 12월 19일","26,183,000","25,154,000","26,183,000","25,120,000","2.53K","4.09%"
"2020년 12월 18일","25,153,000","24,690,000","25,153,000","24,690,000","1.29K","1.83%"
"2020년 12월 17일","24,702,000","22,907,000","24,702,000","22,907,000","3.43K","7.78%"
"2020년 12월 16일","22,918,000","21,090,000","22,918,000","21,090,000","3.48K","8.67%"
"2020년 12월 15일","21,090,000","20,933,000","21,111,000","20,868,000","0.72K","0.75%"
"2020년 12월 14일","20,933,000","20,790,000","20,933,000","20,790,000","1.19K","0.69%"
"2020년 12월 13일","20,790,000","20,573,000","20,790,000","20,573,000","0.97K","1.12%"
"2020년 12월 12일","20,560,000","19,648,000","20,560,000","19,648,000","1.16K","4.64%"
"2020년 12월 11일","19,648,000","19,921,000","19,921,000","19,648,000","0.66K","-1.36%"
"2020년 12월 10일","19,919,000","20,262,000","20,262,000","19,919,000","0.79K","-1.69%"
"2020년 12월 09일","20,262,000","20,034,000","20,262,000","20,034,000","0.99K","1.18%"
"2020년 12월 08일","20,025,000","20,855,000","20,855,000","20,025,000","1.21K","-3.98%"
"2020년 12월 07일","20,855,000","20,969,000","20,969,000","20,855,000","0.74K","-0.57%"
"2020년 12월 06일","20,974,000","20,798,000","20,974,000","20,798,000","0.77K","0.85%"
"2020년 12월 05일","20,798,000","20,526,000","20,798,000","20,526,000","0.29K","1.29%"
"2020년 12월 04일","20,533,000","21,168,000","21,168,000","20,533,000","0.98K","-3.00%"
"2020년 12월 03일","21,168,000","21,091,000","21,168,000","20,905,000","0.65K","0.35%"
"2020년 12월 02일","21,094,000","20,866,000","21,094,000","20,866,000","0.85K","1.18%"
"2020년 12월 01일","20,848,000","21,302,000","21,302,000","20,848,000","1.83K","-2.13%"
"2020년 11월 30일","21,302,000","19,996,000","21,302,000","19,996,000","2.52K","6.50%"
"2020년 11월 29일","20,002,000","19,480,000","20,002,000","19,281,000","0.83K","2.68%"
"2020년 11월 28일","19,480,000","19,118,000","19,480,000","19,118,000","1.61K","1.89%"
"2020년 11월 27일","19,119,000","19,236,000","19,236,000","19,119,000","1.44K","-0.67%"
"2020년 11월 26일","19,248,000","20,838,000","20,838,000","19,248,000","2.31K","-7.65%"
"2020년 11월 25일","20,843,000","20,950,000","20,950,000","20,843,000","1.74K","-0.51%"
"2020년 11월 24일","20,950,000","20,120,000","21,112,000","20,120,000","1.87K","4.07%"
"2020년 11월 23일","20,131,000","20,292,000","20,292,000","19,994,000","1.59K","-0.86%"
"2020년 11월 22일","20,305,000","20,371,000","20,371,000","20,041,000","1.38K","-0.32%"
"2020년 11월 21일","20,371,000","20,636,000","20,636,000","20,371,000","1.51K","-1.28%"
"2020년 11월 20일","20,636,000","19,799,000","20,636,000","19,799,000","1.54K","4.26%"
"2020년 11월 19일","19,793,000","19,724,000","19,793,000","19,491,000","1.05K","0.35%"
"2020년 11월 18일","19,724,000","19,350,000","19,724,000","19,350,000","1.99K","1.93%"
"2020년 11월 17일","19,350,000","18,268,000","19,350,000","18,268,000","2.05K","5.92%"
"2020년 11월 16일","18,268,000","17,671,000","18,268,000","17,671,000","1.45K","3.38%"
"2020년 11월 15일","17,671,000","17,792,000","17,792,000","17,671,000","0.63K","-0.68%"
"2020년 11월 14일","17,792,000","17,976,000","17,976,000","17,792,000","0.56K","-1.06%"
"2020년 11월 13일","17,982,000","17,962,000","17,982,000","17,962,000","0.73K","0.07%"
"2020년 11월 12일","17,969,000","17,405,000","17,969,000","17,405,000","1.92K","3.24%"
"2020년 11월 11일","17,405,000","17,015,000","17,405,000","17,015,000","1.23K","2.29%"
"2020년 11월 10일","17,015,000","17,102,000","17,102,000","17,013,000","0.56K","-0.51%"
"2020년 11월 09일","17,102,000","17,295,000","17,349,000","16,963,000","1.20K","-1.12%"
"2020년 11월 08일","17,295,000","16,650,000","17,295,000","16,650,000","0.91K","3.87%"
"2020년 11월 07일","16,650,000","17,384,000","17,384,000","16,650,000","2.44K","-4.19%"
"2020년 11월 06일","17,379,000","17,376,000","17,379,000","17,376,000","0.88K","0.00%"
"2020년 11월 05일","17,379,000","15,962,000","17,379,000","15,962,000","2.80K","8.88%"
"2020년 11월 04일","15,962,000","15,859,000","15,962,000","15,582,000","1.35K","0.68%"
"2020년 11월 03일","15,854,000","15,399,000","15,854,000","15,399,000","1.06K","2.95%"
"2020년 11월 02일","15,399,000","15,560,000","15,560,000","15,216,000","0.57K","-1.03%"
"2020년 11월 01일","15,560,000","15,620,000","15,620,000","15,559,000","0.54K","-0.38%"
"2020년 10월 31일","15,620,000","15,338,000","15,620,000","15,338,000","0.54K","1.88%"
"2020년 10월 30일","15,332,000","15,202,000","15,332,000","15,202,000","0.69K","0.86%"
"2020년 10월 29일","15,202,000","15,065,000","15,202,000","15,065,000","0.74K","0.88%"
"2020년 10월 28일","15,069,000","15,296,000","15,296,000","15,069,000","0.73K","-1.48%"
"2020년 10월 27일","15,295,000","14,746,000","15,295,000","14,746,000","1.63K","3.72%"
"2020년 10월 26일","14,746,000","14,684,000","14,746,000","14,684,000","0.96K","0.42%"
"2020년 10월 25일","14,684,000","14,753,000","14,753,000","14,684,000","0.32K","-0.47%"
"2020년 10월 24일","14,753,000","14,565,000","14,753,000","14,563,000","0.73K","1.29%"
"2020년 10월 23일","14,565,000","14,575,000","14,575,000","14,565,000","0.61K","-0.04%"
"2020년 10월 22일","14,571,000","14,411,000","14,571,000","14,411,000","1.17K","1.12%"
"2020년 10월 21일","14,409,000","13,634,000","14,528,000","13,634,000","2.44K","5.68%"
"2020년 10월 20일","13,634,000","13,398,000","13,634,000","13,398,000","0.87K","1.76%"
"2020년 10월 19일","13,398,000","13,201,000","13,398,000","13,126,000","0.66K","1.45%"
"2020년 10월 18일","13,207,000","13,062,000","13,207,000","13,062,000","0.26K","1.11%"
"2020년 10월 17일","13,062,000","13,033,000","13,062,000","13,033,000","0.17K","0.22%"
"2020년 10월 16일","13,033,000","13,220,000","13,220,000","13,033,000","0.30K","-1.41%"
"2020년 10월 15일","13,219,000","13,149,000","13,219,000","13,149,000","0.63K","0.53%"
"2020년 10월 14일","13,149,000","13,114,000","13,149,000","13,063,000","0.48K","0.27%"
"2020년 10월 13일","13,114,000","13,180,000","13,180,000","13,114,000","0.33K","-0.46%"
"2020년 10월 12일","13,174,000","12,925,000","13,174,000","12,925,000","0.80K","1.93%"
"2020년 10월 11일","12,925,000","12,851,000","12,950,000","12,851,000","0.44K","0.58%"
"2020년 10월 10일","12,851,000","12,624,000","12,851,000","12,624,000","0.39K","1.83%"
"2020년 10월 09일","12,620,000","12,566,000","12,620,000","12,521,000","0.32K","0.43%"
"2020년 10월 08일","12,566,000","12,410,000","12,566,000","12,403,000","0.39K","1.27%"
"2020년 10월 07일","12,409,000","12,418,000","12,418,000","12,409,000","0.31K","-0.07%"
"2020년 10월 06일","12,418,000","12,529,000","12,529,000","12,418,000","0.66K","-0.89%"
"2020년 10월 05일","12,529,000","12,455,000","12,529,000","12,430,000","0.36K","0.63%"
"2020년 10월 04일","12,451,000","12,385,000","12,451,000","12,385,000","0.34K","0.53%"
"2020년 10월 03일","12,385,000","12,432,000","12,432,000","12,377,000","0.22K","-0.38%"
"2020년 10월 02일","12,432,000","12,435,000","12,435,000","12,432,000","0.30K","-0.09%"
"2020년 10월 01일","12,443,000","12,547,000","12,617,000","12,443,000","1.30K","-0.83%"
"2020년 09월 30일","12,547,000","12,598,000","12,598,000","12,494,000","0.35K","-0.40%"
"2020년 09월 29일","12,598,000","12,452,000","12,598,000","12,452,000","0.42K","1.19%"
"2020년 09월 28일","12,450,000","12,500,000","12,500,000","12,450,000","0.68K","-0.40%"
"2020년 09월 27일","12,500,000","12,489,000","12,520,000","12,489,000","0.53K","0.09%"
"2020년 09월 26일","12,489,000","12,441,000","12,489,000","12,441,000","0.30K","0.39%"
"2020년 09월 25일","12,441,000","12,495,000","12,495,000","12,441,000","0.60K","-0.43%"
"2020년 09월 24일","12,495,000","11,949,000","12,495,000","11,949,000","1.22K","4.60%"
"2020년 09월 23일","11,946,000","12,329,000","12,329,000","11,946,000","1.09K","-3.08%"
"2020년 09월 22일","12,326,000","12,270,000","12,326,000","12,225,000","0.49K","0.49%"
"2020년 09월 21일","12,266,000","12,823,000","12,823,000","12,266,000","1.07K","-4.36%"
"2020년 09월 20일","12,825,000","12,919,000","12,919,000","12,805,000","0.51K","-0.73%"
"2020년 09월 19일","12,919,000","12,769,000","12,919,000","12,769,000","0.10K","1.17%"
"2020년 09월 18일","12,769,000","12,786,000","12,786,000","12,704,000","0.56K","-0.13%"
"2020년 09월 17일","12,786,000","12,897,000","12,897,000","12,786,000","0.56K","-0.88%"
"2020년 09월 16일","12,900,000","12,803,000","12,900,000","12,803,000","0.93K","0.76%"
"2020년 09월 15일","12,803,000","12,633,000","12,827,000","12,633,000","0.63K","1.35%"
"2020년 09월 14일","12,633,000","12,368,000","12,633,000","12,368,000","0.81K","2.17%"
"2020년 09월 13일","12,365,000","12,360,000","12,505,000","12,290,000","0.49K","0.04%"
"2020년 09월 12일","12,360,000","12,334,000","12,360,000","12,252,000","0.58K","0.23%"
"2020년 09월 11일","12,332,000","12,320,000","12,332,000","12,320,000","0.44K","0.10%"
"2020년 09월 10일","12,320,000","12,160,000","12,320,000","12,158,000","0.80K","1.32%"
"2020년 09월 09일","12,160,000","12,127,000","12,160,000","12,127,000","0.65K","0.28%"
"2020년 09월 08일","12,126,000","12,366,000","12,366,000","12,003,000","0.98K","-1.91%"
"2020년 09월 07일","12,362,000","12,356,000","12,362,000","11,943,000","0.97K","0.05%"
"2020년 09월 06일","12,356,000","12,368,000","12,368,000","12,214,000","0.75K","-0.06%"
"2020년 09월 05일","12,363,000","12,624,000","12,626,000","12,363,000","1.81K","-2.08%"
"2020년 09월 04일","12,625,000","12,296,000","12,625,000","12,296,000","1.85K","2.63%"
"2020년 09월 03일","12,301,000","13,580,000","13,580,000","12,301,000","3.17K","-9.38%"
"2020년 09월 02일","13,574,000","13,965,000","13,965,000","13,459,000","1.15K","-2.81%"
"2020년 09월 01일","13,967,000","13,732,000","13,967,000","13,732,000","1.40K","1.74%"
"2020년 08월 31일","13,728,000","13,654,000","13,728,000","13,654,000","0.62K","0.54%"
"2020년 08월 30일","13,654,000","13,432,000","13,654,000","13,432,000","0.60K","1.65%"
"2020년 08월 29일","13,432,000","13,521,000","13,529,000","13,432,000","0.46K","-0.67%"
"2020년 08월 28일","13,522,000","13,402,000","13,522,000","13,402,000","0.56K","0.81%"
"2020년 08월 27일","13,413,000","13,538,000","13,538,000","13,400,000","0.95K","-0.92%"
"2020년 08월 26일","13,538,000","13,475,000","13,538,000","13,475,000","0.57K","0.50%"
"2020년 08월 25일","13,471,000","13,842,000","13,842,000","13,471,000","1.51K","-2.68%"
"2020년 08월 24일","13,842,000","13,801,000","13,842,000","13,801,000","0.34K","0.30%"
"2020년 08월 23일","13,801,000","13,841,000","13,841,000","13,707,000","0.50K","-0.30%"
"2020년 08월 22일","13,843,000","13,767,000","13,843,000","13,559,000","0.60K","0.50%"
"2020년 08월 21일","13,774,000","13,944,000","13,944,000","13,774,000","1.39K","-1.22%"
"2020년 08월 20일","13,944,000","13,872,000","13,944,000","13,872,000","0.64K","0.52%"
"2020년 08월 19일","13,872,000","14,004,000","14,004,000","13,865,000","1.09K","-0.89%"
"2020년 08월 18일","13,996,000","14,181,000","14,222,000","13,996,000","1.10K","-1.30%"
"2020년 08월 17일","14,181,000","13,886,000","14,181,000","13,848,000","2.33K","2.12%"
"2020년 08월 16일","13,886,000","13,881,000","13,886,000","13,804,000","0.77K","0.10%"
"2020년 08월 15일","13,872,000","13,830,000","14,018,000","13,830,000","1.01K","0.30%"
"2020년 08월 14일","13,830,000","13,820,000","13,830,000","13,820,000","1.24K","0.10%"
"2020년 08월 13일","13,816,000","13,681,000","13,816,000","13,494,000","1.94K","0.99%"
"2020년 08월 12일","13,681,000","13,610,000","13,681,000","13,595,000","0.84K","0.52%"
"2020년 08월 11일","13,610,000","13,999,000","13,999,000","13,610,000","2.22K","-2.76%"
"2020년 08월 10일","13,997,000","13,813,000","13,997,000","13,813,000","0.80K","1.33%"
"2020년 08월 09일","13,813,000","13,868,000","13,872,000","13,813,000","0.69K","-0.40%"
"2020년 08월 08일","13,868,000","13,762,000","13,868,000","13,762,000","0.65K","0.77%"
"2020년 08월 07일","13,762,000","13,862,000","13,935,000","13,762,000","1.39K","-0.74%"
"2020년 08월 06일","13,865,000","13,851,000","13,865,000","13,851,000","0.89K","0.10%"
"2020년 08월 05일","13,851,000","13,310,000","13,851,000","13,310,000","1.17K","4.06%"
"2020년 08월 04일","13,310,000","13,273,000","13,361,000","13,273,000","0.71K","0.26%"
"2020년 08월 03일","13,275,000","13,034,000","13,275,000","13,034,000","1.19K","1.85%"
"2020년 08월 02일","13,034,000","13,934,000","13,934,000","13,034,000","1.08K","-6.46%"
"2020년 08월 01일","13,934,000","13,408,000","13,934,000","13,408,000","1.68K","3.92%"
"2020년 07월 31일","13,408,000","13,100,000","13,408,000","13,100,000","1.76K","2.35%"
"2020년 07월 30일","13,100,000","13,118,000","13,118,000","12,983,000","1.09K","-0.14%"
"2020년 07월 29일","13,118,000","12,761,000","13,118,000","12,761,000","1.66K","2.81%"
"2020년 07월 28일","12,760,000","12,913,000","13,074,000","12,760,000","1.42K","-1.16%"
"2020년 07월 27일","12,910,000","11,701,000","12,910,000","11,701,000","5.19K","10.33%"
"2020년 07월 26일","11,701,000","11,470,000","11,701,000","11,437,000","0.67K","2.01%"
"2020년 07월 25일","11,470,000","11,334,000","11,470,000","11,334,000","0.78K","1.20%"
"2020년 07월 24일","11,334,000","11,330,000","11,334,000","11,269,000","0.78K","0.04%"
"2020년 07월 23일","11,330,000","11,261,000","11,330,000","11,261,000","0.83K","0.64%"
"2020년 07월 22일","11,258,000","11,120,000","11,258,000","11,104,000","0.98K","1.24%"
"2020년 07월 21일","11,120,000","10,943,000","11,120,000","10,943,000","0.50K","1.62%"
"2020년 07월 20일","10,943,000","10,937,000","10,943,000","10,937,000","0.44K","0.03%"
"2020년 07월 19일","10,940,000","10,913,000","10,940,000","10,888,000","0.57K","0.31%"
"2020년 07월 18일","10,906,000","10,927,000","10,927,000","10,906,000","0.33K","-0.19%"
"2020년 07월 17일","10,927,000","10,929,000","10,929,000","10,879,000","0.31K","-0.02%"
"2020년 07월 16일","10,929,000","10,975,000","10,975,000","10,929,000","0.47K","-0.42%"
"2020년 07월 15일","10,975,000","11,006,000","11,006,000","10,973,000","0.47K","-0.28%"
"2020년 07월 14일","11,006,000","11,000,000","11,006,000","10,970,000","0.58K","0.05%"
"2020년 07월 13일","11,000,000","11,022,000","11,022,000","11,000,000","0.97K","-0.20%"
"2020년 07월 12일","11,022,000","10,968,000","11,022,000","10,946,000","0.52K","0.49%"
"2020년 07월 11일","10,968,000","11,034,000","11,034,000","10,968,000","0.28K","-0.60%"
"2020년 07월 10일","11,034,000","10,950,000","11,034,000","10,950,000","0.60K","0.77%"
"2020년 07월 09일","10,950,000","11,128,000","11,137,000","10,950,000","0.84K","-1.57%"
"2020년 07월 08일","11,125,000","10,971,000","11,125,000","10,971,000","0.69K","1.40%"
"2020년 07월 07일","10,971,000","11,045,000","11,045,000","10,971,000","0.37K","-0.67%"
"2020년 07월 06일","11,045,000","10,830,000","11,045,000","10,824,000","0.96K","2.00%"
"2020년 07월 05일","10,828,000","10,887,000","10,898,000","10,772,000","0.52K","-0.54%"
